classname,path_pos,path_neg,margin,abs_margin,error,z_id,z_flip,z_rot_pos,z_rot_neg,instability
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/000.png,6.145803451538086,6.145803451538086,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/001.png,5.216142654418945,5.216142654418945,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/002.png,5.95011043548584,5.95011043548584,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/003.png,6.39109992980957,6.39109992980957,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/004.png,6.314373016357422,6.314373016357422,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/005.png,6.32557487487793,6.32557487487793,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/006.png,6.01270866394043,6.01270866394043,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/007.png,6.10539436340332,6.10539436340332,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/008.png,6.17474365234375,6.17474365234375,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/009.png,5.580957412719727,5.580957412719727,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/010.png,6.06428337097168,6.06428337097168,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/011.png,6.240007400512695,6.240007400512695,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/012.png,5.93017578125,5.93017578125,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/013.png,6.185299873352051,6.185299873352051,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/014.png,6.1674957275390625,6.1674957275390625,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/015.png,5.4559173583984375,5.4559173583984375,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/016.png,6.111417770385742,6.111417770385742,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/017.png,6.220682144165039,6.220682144165039,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/018.png,5.988676071166992,5.988676071166992,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/000.png,/home/zju/datasets/mvtec/bottle/test/good/019.png,5.774875640869141,5.774875640869141,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/000.png,6.120946884155273,6.120946884155273,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/001.png,5.191286087036133,5.191286087036133,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/002.png,5.925253868103027,5.925253868103027,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/003.png,6.366243362426758,6.366243362426758,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/004.png,6.289516448974609,6.289516448974609,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/005.png,6.300718307495117,6.300718307495117,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/006.png,5.987852096557617,5.987852096557617,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/007.png,6.080537796020508,6.080537796020508,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/008.png,6.1498870849609375,6.1498870849609375,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/009.png,5.556100845336914,5.556100845336914,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/010.png,6.039426803588867,6.039426803588867,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/011.png,6.215150833129883,6.215150833129883,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/012.png,5.9053192138671875,5.9053192138671875,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/013.png,6.160443305969238,6.160443305969238,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/014.png,6.14263916015625,6.14263916015625,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/015.png,5.431060791015625,5.431060791015625,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/016.png,6.08656120300293,6.08656120300293,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/017.png,6.195825576782227,6.195825576782227,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/018.png,5.96381950378418,5.96381950378418,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/001.png,/home/zju/datasets/mvtec/bottle/test/good/019.png,5.750019073486328,5.750019073486328,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/002.png,/home/zju/datasets/mvtec/bottle/test/good/000.png,5.888113021850586,5.888113021850586,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/002.png,/home/zju/datasets/mvtec/bottle/test/good/001.png,4.958452224731445,4.958452224731445,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/002.png,/home/zju/datasets/mvtec/bottle/test/good/002.png,5.69242000579834,5.69242000579834,0.0,1.0,1.0,1.0,1.0,0.0
bottle,/home/zju/datasets/mvtec/bottle/test/broken_large/002.png,/home/zju/datasets/mvtec/bottle/test/good/003.png,6.13340950012207,6.13340950012207,0.0,1.0,1.0,1.0,1.0,0.0
